Référence ENI,Titre,Sous-titre,Mention de responsabilité,Edition,Date d'édition,Nom auteur1,Prénom auteur1,Nom auteur2,Prénom auteur2,Nom auteur3,Prénom auteur3,Nom auteur4,Prénom auteur4,Nom auteur 5,Prénom auteur 5,Nom auteur 6,Prénom auteur 6,Nº pages,Langue,Langue d'origine,Pays de publication,Forme de la ressource,Données codées,Préface,Résumé,Type de ressource,Type de ressource électronique,Note sur la configuration requise,ISBN (Version Imprimée),Version imprimée,ISBN (Version Num.),Version numérique,Ville,Editeur,Année d'édition,Type de document électronique,Collection,URL,Accès au travers du portail ENI,Mot clé 1,Mot clé 2,Mot clé 3,Mot clé 4,Mot clé 5,Mot clé 6,Mot clé 7,Mot clé 8,Mot clé 9,Mot clé 10,Mot clé 11,Mot clé 12,Mot clé 13,Mot clé 14,Mot clé 15,Mot clé 16,Mot clé 17,Mot clé 18,Mot clé 19,Mot clé 20,Mot clé 21,Mot clé 22,Mot clé 23,Mot clé 24,Mot clé 25,Mot clé 26,Mot clé 27,Mot clé 28,Mot clé 29,Mot clé 30,Mot clé 31,Mot clé 32,Mot clé 33,Mot clé 34
RI13AUTLT,AutoCAD LT 2013,Des fondamentaux à la présentation détaillée,Olivier Le Frapper,,Édition du 04 décembre 2012,Le Frapper,Olivier ,,,,,,,,,,,634,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre sur AutoCAD LT 2013 a pour but de vous faire découvrir puis maîtriser toutes les possibilités offertes par cette puissante application de Conception/Dessin Assisté(e) par Ordinateur (CAO/DAO). Il est destiné à des lecteurs possédant déjà de bonnes bases de dessin technique.
Les premiers chapitres s'intéressent plus particulièrement à l'environnement de travail, à l'interface, aux outils de visualisation rapide et à l'utilisation du Cloud, afin de mieux maîtriser ensuite la construction de dessins de tout type et la gestion des objets ainsi créés. Les chapitres suivants s'attardent sur tous les éléments qui peuvent compléter ou automatiser la conception et le dessin jusqu'à la présentation détaillée (entrées dynamiques, poignées dynamiques multifonctions, gestion avancée des calques, des blocs et blocs dynamiques, des éléments de bibliothèques, utilisation du dessin paramétrique, des hachures, hachures dégradées, des annotations, des cotations, cotations automatiques et lignes de repère, gestion des données annotatives, des tableaux et formules, des champs automatisés, des références externes, gestion des calques sous-jacents PDF, DGN, DWF et images, gestion des systèmes de coordonnées...). 
Enfin, vous sont présentées toutes les fonctionnalités permettant de gérer et présenter vos projets, de configurer les mises en page et les impressions, d'exporter ou d'importer d'autres formats graphiques (dont les formats DXF, DGN, DWF et PDF), de publier sur le Web et de personnaliser les options ainsi que les palettes d'outils et groupes de fonctions, ou encore les propriétés rapides et espaces de travail personnalisés proposés par AutoCAD LT 2013.",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-7767-6,Version imprimée,978-2-7460-7802-4,Version numérique,St-Herblain,Editions ENI,2012,Données textuelles et illustrations sur pages HTML,Ressources Informatiques,%SITE_CLIENT%/?library_guid=5f633659-3881-40ac-95a7-028838df5e54,Accès au travers du portail ENI,AutoDesk ,Auto CAD ,2D ,CAO ,DAO ,Dessin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OW1.5PRE,Prestashop 1.5,Créer un site de e-commerce,Didier Mazier,,Édition du 04 décembre 2012,Mazier,Didier ,,,,,,,,,,,330,fre,fre,FR,s,drcn#nnnmnnbn,,"PrestaShop, solution open source 100% française, est  l'un des meilleurs CMS actuels pour créer et administrer une boutique en ligne.  Avec ce livre, rédigé avec la version 1.5 de PrestaShop, vous suivrez pas à pas  toutes les étapes pour installer et paramétrer votre e-commerce, depuis  l'hébergement jusqu'au suivi de l'activité, en passant par la personnalisation  graphique.
Les fonctions marketing et merchandising sont étudiées en détail pour dynamiser  les ventes avec des actions efficaces : produits phares, navigation à  facettes, ventes croisées, promotions, coupons de réduction, listes de cadeaux...
Vous mettrez en place tous les mécanismes commerciaux clés du e-commerce,  garants de la satisfaction de vos clients : retours produits, avoirs,  relances des commandes...
La gestion de la relation client n'est pas en reste avec l'e-mailing, la  fidélisation, le parrainage, les cadeaux d'anniversaire...",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-7743-0,Version imprimée,978-2-7460-7800-0,Version numérique,St-Herblain,Editions ENI,2012,Données textuelles et illustrations sur pages HTML,Ressources Informatiques,%SITE_CLIENT%/?library_guid=e0c8f27a-c18f-44f7-8928-9e42055f955a,Accès au travers du portail ENI,e-commerce ,catalogue ,produit ,article ,panier ,newsletter ,emarketing ,e-marketing ,merchandising,,,,,,,,,,,,,,,,,,,,,,,,,
EP12SCO,SCOM 2012 (System Center Operations Manager),"De l'installation à l'exploitation, mise en oeuvre et bonnes pratiques",Mathieu Chateau,,Édition du 04 décembre 2012,Chateau,Mathieu ,,,,,,,,,,,421,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre sur SCOM 2012 s'adresse aux administrateurs et ingénieurs désireux d'acquérir et de maîtriser l'installation, la mise en œuvre et l'exploitation de System Center Operations Manager.
Il répond aux besoins d'expertise du lecteur en traitant de façon approfondie, d'un point de vue théorique et pratique, de l'architecture à la supervision applicative, en passant par le déploiement, les rapports, la création de packs et l'exploitation. L'aspect technique n'étant qu'une partie d'un projet SCOM, l'auteur présente également une méthode pour gérer le flux d'alertes, enrichie de ses retours d'expérience.
Aperçu de la table des matières : Introduction (Pourquoi SCOM, Le mode de fonctionnement, Le modèle de licence, SCOM vs Nagios, Nouveautés depuis SCOM 2007…) - Architecture SCOM (Introduction, Composants SCOM, Capacity planning, Consommation réseau, Gestion de la sécurité, Haute disponibilité…) - Déploiement (Introduction, Installation initiale, Mise à jour depuis SCOM 2007, Accéder à la plateforme, Configuration initiale, Gestion des droits…) - Mise sous supervision (Introduction, Déploiement agent Windows, Compte restreint, Déploiement agent Linux, Supervision SNMP, Supervision Web…) - Exploitation de la supervision (Introduction, Présentation des consoles, Règle vs moniteur, Explorateur d'intégrité, Effet sapin de no&euml;l, Temps de maintenance, Bonnes pratiques…) - Les rapports (Introduction, Utilisation des rapports standards, La base entrepôt, Report Builder, Business Intelligence Development Studio, Suivi du niveau de service…) - Les packs d'administration (Introduction, Importation de packs, Remplacements, Packs de la communauté, Objets de packs, Création de packs…) - Supervision applicative (Introduction, Applications distribuées, Applications Web .Net, Applications Java J2E…).
Des éléments complémentaires sont en téléchargement sur le site www.editions-eni.fr.",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-7775-1,Version imprimée,978-2-7460-7799-7,Version numérique,St-Herblain,Editions ENI,2012,Données textuelles et illustrations sur pages HTML,Ressources Informatiques,%SITE_CLIENT%/?library_guid=fb91eb8a-0d34-430b-bde1-1890f4b6973c,Accès au travers du portail ENI,supervision ,sla ,alertes ,alerte ,Health Explorer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPOCS,OCS Inventory,Maîtrisez l'inventaire de votre parc informatique et le déploiement de vos logiciels,Yves Guimard,,Édition du 04 décembre 2012,Guimard,Yves ,,,,,,,,,,,444,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre sur OCS Inventory (Open Computer Software Inventory), s'adresse aussi bien à l'informaticien souhaitant disposer d'un guide rapide de mise en œuvre qu'à l'administrateur d'un parc important, déjà sensibilisé à l'outil, et cherchant des réponses à des questions de personnalisation ou d'architecture.
Dans chaque chapitre l'auteur développe un thème précis et l'illustre pour guider de façon efficace le lecteur et ce quel que soit son niveau. Des mises en situation et des exemples permettent de mettre directement en application les aspects théoriques détaillés et des remarques et retours d'expérience attirent l'attention du lecteur sur certains points particuliers. 
Ainsi, les onze chapitres du livre détaillent toutes les fonctionnalités et domaines couverts par le logiciel, depuis l'installation du serveur OCS Inventory jusqu'au développement de nouvelles fonctionnalités. Thèmes principaux abordés :
- Présentation et installation sur plateforme Windows et Linux
- Paramétrer et déployer les agents OCS
- Inventorier de façon exhaustive son parc informatique
- Utiliser une authentification centralisée et adapter les profils utilisateurs
- Maîtriser le parc logiciel et déployer des applications
- Mettre en place un processus de déploiement (workflow)
- Utiliser OCS Inventory à moyenne et grande échelle
- Interfacer OCS Inventory avec d'autres outils (GLPI)
- Utiliser et créer des plugins OCS
- Compiler ses propres installeurs Windows à déployer avec OCS Inventory
Des ressources sont proposées en téléchargement sur le site www.editions-eni.fr (base de données pour suivre les informations présentées, utilitaires et fichiers d'exemples...).",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-7774-4,Version imprimée,978-2-7460-7798-0,Version numérique,St-Herblain,Editions ENI,2012,Données textuelles et illustrations sur pages HTML,Ressources Informatiques,%SITE_CLIENT%/?library_guid=4b256cb3-39cf-4c59-9f85-f7b1a9e57d5e,Accès au travers du portail ENI,OCSI ,glpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBORES,Réseaux sociaux,Optimisez votre ROI,Romain Rissoan,,Édition du 13 novembre 2012,Rissoan,Romain ,,,,,,,,,,,293,fre,fre,FR,s,drcn#nnnmnnbn,,"Trois mois après son apparition en bourse, l'action Facebook perdait la moitié de sa valeur et marquait le début de la crise du net social. Les retombées sur les autres réseaux et médias sociaux sont déjà présentes ou le seront bientôt ; Foursquare, Pinterest,Twitter, LinkedIn, Viadeo, tout cet univers est sur le point de basculer dans une phase de maturité. Que ce soit sous la forme de dévalorisation boursière, de perte de trafic, l'attrait pour le social média a marqué un sérieux changement de cap en  milieu d'année 2012 : l'ère du numérique social est désormais passée à la synchronisation inter médias sociaux, tenant compte du multi-terminal et des spécificités de chaque utilisateur dans l'objectif de dégager un réel retour sur investissement. L'approche utile et rentable, est l'approche qui sauvera les médias sociaux des prochaines années.
Ce livre s'adresse aux Dirigeants de PME, Managers, Responsables communication, Community Managers, DRH, auto-entrepreneurs ayant une expérience sur les réseaux sociaux et désirant mettre en place une stratégie Social Media efficace sur le long terme. Il présente les caractéristiques essentielles des médias sociaux que sont la protection sociale numérique, l'emploi et le recrutement 2.0, l'organisation 2.0, le social management, le social CRM, l'e-réputation et le personal branding et expose des attitudes, des méthodes et des outil pour développer une approche des médias sociaux orientée retour sur investissement.
Mais il va plus loin : la communication via les médias sociaux étant si particulière, ce livre présente également des stratégies de gestion identitaire, des stratégies de création de contenu, de référencement web pour créer une communication virale et fréquente à bas co&ucirc;t autour de son propre site Internet (ou blog), grâce à des outils de veille, des agents d'alerte, des automates et des auto-répondeurs couplés à vos pages et à vos comptes personnels sur les médias sociaux.
Enfin, parce que les indicateurs comme ceux utilisés sur le Klout sont nombreux et qu'ils restent une référence pour les e-influcenceurs en termes de crédibilité et donc de réussite potentielle, vous trouverez aussi dans ce livre, des outils et des astuces pour faire croître en peu de temps votre nombre de followers, de fans, de mentions, de like et, plus généralement, de toutes formes d'interactions.
Ce livre a été rédigé en trois parties. La première évoque les enjeux majeurs autour des médias sociaux en 2013, pour le particulier, l'individuel professionnel (profession libérale ou auto-entrepreneur), le groupe et les organisations comme les sociétés ou les associations. La seconde partie présente de solides outils organisationnels et techniques qui vous permettront de vous approprier l'intégralité de la dimension sociale et d'en générer un gain, mieux, un retour sur investissement. La troisième partie représente une synthèse méthodologique qui vous permettra d'optimiser votre stratégie Social Media.",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-7736-2,Version imprimée,978-2-7460-7748-5,Version numérique,St-Herblain,Editions ENI,2012,Données textuelles et illustrations sur pages HTML,Marketing Book,%SITE_CLIENT%/?library_guid=08716ed2-d627-4e03-8bfa-5d9d615b2a02,Accès au travers du portail ENI,Foursquare,Pinterest,Twitter,LinkedIn ,Viadeo,Google+ ,Facebook ,social media ,social media ,média social ,medias sociaux ,media social ,médias sociaux ,social management ,social CRM ,e-réputation ,personal branding ,klout ,,,,,,,,,,,,,,,,
SO5CSHA,C# 5,Développez des applications Windows avec Visual Studio 2012,Jérôme Hugon,,Édition du 06 novembre 2012,Hugon,Jérôme ,,,,,,,,,,,518,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre sur le développement d'applications Windows avec le langage C# et Visual Studio 2012 est destiné aux développeurs qui débutent avec le framework .NET. Il leur permet d'apprendre les bases du langage C# et introduit des concepts plus avancés leur donnant une vue d'ensemble des possibilités offertes par le langage C#, Visual Studio et le framework .NET en général. L'auteur a choisi une approche pas à pas tout en construisant une application fonctionnelle tout au long de l'ouvrage pour illustrer de manière pratique et cohérente les concepts abordés.
L'apprentissage commence par la familiarisation avec l'interface de Visual Studio 2012 ainsi qu'avec le concept de l'architecture .NET. Les détails du langage C# (en version 5 au moment de la  rédaction du livre), sa syntaxe et ses fonctionnalités comme les classes, l'héritage, les interfaces, les types génériques ou encore les délégués et les évènements sont ensuite expliqués avant d'aborder la conception d'interfaces utilisateur. 
La conception de l'interface utilisateur couvre toutes les phases utiles pour créer des applications Windows à la fois fonctionnelles et ergonomiques, allant de la création de formulaires à la création de contrôles en passant par l'implémentation de gestionnaire d'évènements et la validation des données saisies. Une introduction à la conception de formulaires de style Metro pour Windows 8 est également incluse.
Les outils de Visual Studio qui permettent de réaliser les tests et le débogage des applications sont également détaillés en présentant les techniques de gestion des erreurs mais aussi les concepts permettant de surveiller les applications comme le traçage, l'interaction avec les journaux d'évènements et l'utilisation des compteurs de performance.
L'utilisation de Entity Framework est détaillée au sein d'exemples concrets permettant de comprendre rapidement comment créer des modèles de données et comment les utiliser pour communiquer avec une base de données tout en apprenant à utiliser le langage de requête LINQ pour interagir avec des données sous différents formats (objets, SQL ou XML). L'alternative du stockage de données d'une application sur le système de fichiers et l'utilisation du concept de la sérialisation sont également détaillés fournissant ainsi une vision globale des possibilités offertes par le framework .NET concernant la gestion des données.
Des concepts plus avancés sont également abordés afin d'exposer une gamme plus large des possibilités offertes par le langage C# et Visual Studio : l'utilisation des expressions régulières, le développement d'applications multi-tâches et asynchrones, la globalisation et la localisation d'une application, la sécurité du code, l'implémentation d'applications client/serveur, le dessin avec GDI+ ainsi que la réflexion font partie des sujets introduits.
La dernière partie de l'ouvrage est consacrée à la création d'assemblages ainsi qu'au déploiement des applications. Les outils et techniques mis à disposition par Visual Studio pour créer des installeurs Windows et configurer les applications y sont détaillés.
Le code de l'application exemple traitée dans l'ouvrage est en téléchargement sur le site www.editions-eni.fr.",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-7716-4,Version imprimée,978-2-7460-7761-4,Version numérique,St-Herblain,Editions ENI,2012,Données textuelles et illustrations sur pages HTML,Solutions Informatiques,%SITE_CLIENT%/?library_guid=dc566699-6936-4dba-9a4c-70226af2d634,Accès au travers du portail ENI,microsoft ,c ,csharp ,c sharp ,vs ,vs 2012 ,développement ,langage ,.net ,dot net ,net ,linq ,wpf ,entity framework ,framework ,gdi ,gdi+,,,,,,,,,,,,,,,,,
EP12SSIS,SQL Server 2012 Integration Services (SSIS),,"François Jehl, Romuald Coutaud, Patrice Harel",,Édition du 06 novembre 2012,Jehl,François ,Coutaud,Romuald ,Harel,Patrice ,,,,,,,456,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre sur SSIS 2012 s'adresse aussi bien aux développeurs débutants à la recherche d'informations sur l'utilisation du produit et de la plateforme de développement, qu'aux consultants plus expérimentés en quête de bonnes pratiques permettant d'améliorer les performances globales du système d'information en cours de création. Le lecteur devra disposer de bonnes bases sur le langage SQL, le mode de fonctionnement d'une base de données et de ses objets et la gestion des ressources systèmes.
Les auteurs, dans les trois premiers chapitres, décrivent les notions essentielles à SSIS et définissent la notion d'ETL grâce à un exemple d'implémentation d'un lot SSIS. Ils  présentent ensuite les deux moteurs principaux que sont le Flux de Contrôle (conteneurs, contraintes de précédences, …) et le Flux de Données (sources et destinations, gestion des flux, …). Ils détaillent ensuite les différentes typologies d'implémentation des Flux de Données au travers de l'agencement de ses composants (mono-source, multi-source et opérations de jointure), puis les différentes tâches post développement comme l'administration ou la journalisation des évènements. Enfin, les trois derniers chapitres sont consacrés à des notions plus avancées, comme la fiabilisation des packages (gestion des erreurs, transactions, …), les bonnes pratiques à connaître (paramétrage des buffers, types de composants, …) et le développement de ses propres composants.
Ce livre est à la fois un guide théorique sur l'utilisation des composants de SSIS et un recueil de bonnes pratiques de développement, issues de l'expérience significative des auteurs dans ce domaine.",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-7734-8,Version imprimée,978-2-7460-7747-8,Version numérique,St-Herblain,Editions ENI,2012,Données textuelles et illustrations sur pages HTML,Epsilon,%SITE_CLIENT%/?library_guid=59aba6dc-c387-4e47-b667-dec49af4ace9,Accès au travers du portail ENI,sqlserver ,microsoft ,décisionnel ,BI ,etl ,bdd ,sgbdd ,flux ,lot ssis,,,,,,,,,,,,,,,,,,,,,,,,,
EP2OBJ,Objective-C,"Créez vos applications iPhone et iPad (Mac 0S, Linux, Windows)","Gaël Durand, Abdelhalim Rafrafi",2e édition,Édition du 06 novembre 2012,Durand,Gaël ,Rafrafi,Abdelhalim ,,,,,,,,,829,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre couvre le langage Objective-C et les principales API d'iOS pour développer des applications iPhone et iPad performantes. Pédagogique et illustré d'exemples simples (QCM, jeu…), il est destiné tant au développeur expérimenté qu'au débutant souhaitant s'approprier ce langage. Ce livre est un moyen simple et efficace d'acquérir les meilleures bases pour créer et développer ses propres applications iPhone et iPad. Vous découvrirez également comment réaliser des programmes performants pour Mac OS X, Linux et Windows. 
Les auteurs décrivent tout d'abord des applications simples (threads, services web, base de données...) et évoluent ensuite progressivement vers des applications plus complexes combinant plusieurs techniques (IHM, modèles de conception dont MVC et KVO, Cocos2D...). L'apprentissage du langage s'appuie sur des notions de développement logiciel pour améliorer les compétences générales du développeur. 
Après avoir largement couvert le langage Objective-C, les auteurs expliquent comment mettre en vente sur l'App Store une application réalisée à partir des principales API d'iOS (multimédia, contacts, géolocalisation, réalité augmentée...). D'autres notions propres à la mobilité sont également abordées comme l'écriture d'une application mobile hybride avec un nouveau plugin Phonegap/Cordova pour iOS. 
Des connaissances sur le langage C et sur les principes de la programmation objet sont un pré-requis intéressant avant de s'engager dans l'apprentissage de l'Objective-C, des rappels sont d'ailleurs fournis dans ce livre.
Les codes source des exemples présents tout au long des chapitres sont proposés, si possible, en deux versions : une pour GNUstep, une pour Cocoa et sont en téléchargement sur le site www.editions-eni.com. Par ailleurs, les auteurs animent un site dédié au livre, www.objectivec.fr, qui contient de nombreux articles pour en apprendre davantage sur le sujet.",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-7717-1,Version imprimée,978-2-7460-7746-1,Version numérique,St-Herblain,Editions ENI,2012,Données textuelles et illustrations sur pages HTML,Epsilon,%SITE_CLIENT%/?library_guid=ec1b255b-52c9-4f39-9a90-5b63d46df076,Accès au travers du portail ENI,ios ,cocoa ,i-pad ,i-phone ,objectivec ,objective c ,sqlite ,cocos2D ,cocoa,,,,,,,,,,,,,,,,,,,,,,,,,
RI32UML,UML 2,"Initiation, exemples et exercices corrigés","Fien Van Der Heyde, Laurent Debrauwer",3e édition,Édition du 06 novembre 2012,Van Der Heyde,Fien ,Debrauwer,Laurent ,,,,,,,,,270,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre sur l'administration du système Linux s'adresse à tout informaticien appelé à gérer ce système d'exploitation et désireux d'apprendre ou de consolider des bases acquises sur le terrain.
Quelle que soit la distribution Linux utilisée (que ce soit en entreprise ou à la maison), toutes les méthodes et commandes d'administration de Linux sont présentées et détaillées. Cette nouvelle édition du livre tient compte des dernières nouveautés Linux (noyau 3.0, IP v6, nouvelles distributions, nouveau boot loader, etc.).
Le livre fait le tour des connaissances nécessaires à l'installation d'une distribution, la gestion des paquetages logiciels RPM et APT, la compilation depuis les sources, les bibliothèques partagées, les principales commandes Gnu et les scripts shell, la gestion des disques et systèmes de fichiers, la mise en place de volumes RAID et LVM, le démarrage et l'arrêt du système, l'impression et les tâches d'administration communes dont la gestion des utilisateurs et l'automatisation des tâches, la configuration du réseau et des services associés, le noyau et sa compilation, les bases de la sécurité, la configuration de l'environnement graphique X11. 
Tous les points traités sont agrémentés d'exemples et leur maîtrise fera de vous un administrateur système Linux compétent.",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-7712-6,Version imprimée,978-2-7460-7753-9,Version numérique,St-Herblain,Editions ENI,2012,Données textuelles et illustrations sur pages HTML,Ressources Informatiques,%SITE_CLIENT%/?library_guid=2548f2d9-2339-4515-9e67-83fa79e298f8,Accès au travers du portail ENI,livre UML ,UML2 ,modélisation ,modelisation ,diagrammes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI12CSHA,C# 5,Les fondamentaux du langage - Développer avec Visual Studio 2012,Thierry Groussard,,Édition du 06 novembre 2012,Groussard,Thierry ,,,,,,,,,,,660,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre sur C# s'adresse aux développeurs, même débutants, désireux de maîtriser le langage C# dans sa version 5. 
Après une description de l'environnement de développement (Visual Studio 2012), le lecteur découvrira les bases de la programmation orientée objet avec C#. Il évoluera de façon progressive vers sa mise en œuvre avec le développement d'applications Windows Form. Les nouveautés de ce langage concernant la programmation asynchrone lui permettront de d'améliorer les performances et la réactivité des applications. Les nombreux exemples et les conseils sur l'utilisation des outils de débogage lui fourniront une aide précieuse pendant la mise au point d'une application. 
Un chapitre consacré à l'accès aux bases de données à l'aide de ADO.NET et de SQL permettra d'évoluer vers le développement d'applications client-serveur. Les puissantes fonctionnalités de LINQ sont présentées et détaillées pour faciliter l'accès et la manipulation des données. L'utilisation du langage XML est également présentée, celui-ci permettant de faciliter l'échange d'informations avec d'autres applications. 
Les utilisateurs des versions précédentes découvriront les nouveautés et améliorations de cette version 2012 pour développer encore plus rapidement et facilement des applications pour le framework .NET 4.5.
La distribution d'une application est présentée avec l'utilisation de Windows Installer et de la technologie Click Once.
Les exemples cités dans le livre sont en téléchargement sur le site www.editions-eni.fr.",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-7710-2,Version imprimée,978-2-7460-7752-2,Version numérique,St-Herblain,Editions ENI,2012,Données textuelles et illustrations sur pages HTML,Ressources Informatiques,%SITE_CLIENT%/?library_guid=7c5d9095-8e0c-4141-9189-46ea6eb40eb9,Accès au travers du portail ENI,livre C# ,c sharp ,microsoft ,linq ,net ,dot net ,.net ,VS ,ado ,ado.net ,SQL ,framework ,Programmation Objet ,click once ,poo,,,,,,,,,,,,,,,,,,,
SOB10EXCCM,"Calculs mathématiques, statistiques et financiers",Avec Excel 2010,Claude Duigou,,Édition du 06 novembre 2012,Duigou,Claude ,,,,,,,,,,,227,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre vous propose de passer en revue les grandes catégories de calculs qu'il est possible d'effectuer avec un tableur comme Excel 2010. Il s'adresse aussi bien à l'étudiant en sciences ou en sciences humaines, qu'au professeur, à l'ingénieur, au statisticien, au financier, etc.… Les domaines de calculs abordés sont : - L'arithmétique de base - Les calculs comptables élémentaires - La trigonométrie et ses applications : topographie, géodésie, astronomie, GPS,… - Les applications des nombres complexes à la géométrie et à l'électricité - Les techniques matricielles pour l'algèbre linéaire et l'électricité - La finance : calcul de rentabilité, calcul de mensualité, calculs actuariels,…- Les tracés de courbes  - La résolution d'équations et l'optimisation - La création de fonctions personnalisées. L'ouvrage comprend trois parties. La première partie présente des techniques de calculs arithmétiques simples et quelques conseils de ""bonne pratique"" qui, l'expérience le montre, facilitent l'utilisation d'Excel. La deuxième partie étudie, en s'appuyant sur de nombreux exemples concrets, les différentes catégories de fonctions proposées par Excel 2010. La troisième partie traite d'outils complémentaires permettant d'étendre les possibilités d'Excel (graphiques).",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-7721-8,Version imprimée,978-2-7460-7758-4,Version numérique,St-Herblain,Editions ENI,2012,Données textuelles et illustrations sur pages HTML,Solutions Business,%SITE_CLIENT%/?library_guid=9c0dee67-5337-4d13-8ffe-e2cddd5bfae8,Accès au travers du portail ENI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB8WIN,Windows 8,,Béatrice Daburon,,Édition du 08 octobre 2012,Daburon,Béatrice ,,,,,,,,,,,519,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre vous présente l'ensemble des fonctionnalités de cette nouvelle version du système d'exploitation de Microsoft, Windows 8. Il est destiné à tout utilisateur d'un ordinateur équipé de Windows 8 muni ou pas d'un écran tactile. Vous découvrirez tout d'abord la nouvelle interface révolutionnaire Metro et les manipulations liées à une utilisation tactile du système ; vous découvrirez également l'interface de Bureau standard disponible dans les versions précédentes. Vous exploiterez la fonction multi-utilisateur qui permet de définir plusieurs utilisateurs sur un même micro-ordinateur. Vous apprendrez à gérer les fichiers, dossiers et unités (créer des dossiers, copier/déplacer des fichiers, graver ou compresser les fichiers, effectuer des recherches...). Vous découvrirez également quelques applications intégrées à Windows 8 tel que le Lecteur Windows Media. Lorsque vous serez familiarisé avec ce nouvel environnement, vous serez à même de le modifier en personnalisant le menu Démarrer, en paramétrant l'interface, en créant des raccourcis, en modifiant votre Bureau. Vous découvrirez dans la partie consacrée à la communication divers outils destinés à la numérisation (et télécopie) mais également au partage des données via un réseau (domestique ou professionnel). La dernière partie de ce manuel aborde des notions plus techniques sur les outils système (défragmentation, nettoyeur de disque), la sauvegarde et restauration des fichiers et du système, l'installation de périphériques et d'applications, la protection de votre ordinateur et la sécurité de vos données...",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-7606-8,Version imprimée,978-2-7460-7692-1,Version numérique,St-Herblain,Editions ENI,2012,Données textuelles et illustrations sur pages HTML,Référence Bureautique,%SITE_CLIENT%/?library_guid=6593e40e-b477-4912-aae3-7d2fe5c7145e,Accès au travers du portail ENI,Microsoft ,système d'exploitation ,OS ,Explorateur ,Media Player ,bureau ,Metro ,Métro ,installation ,réseau ,livre numérique ,livres numériques ,e-book ,ebook ,livre électronique ,livres électroniques ,windows8,,,,,,,,,,,,,,,,,
SOB10GP,La gestion de projet,étude d'un cas concret avec Project,Alexandre Faulx-Briole,,Édition du 02 octobre 2012,Faulx-Briole,Alexandre ,,,,,,,,,,,344,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre s'adresse aux chefs de projet et aux planificateurs ; il détaille sur un exemple concret, comment mettre en place et effectuer le suivi d'un projet. Il est basé sur Project 2010 (version Professionnelle), le logiciel de gestion de projet le plus utilisé en France. Après une introduction générale à la gestion de projet, l'auteur déroule un scénario de construction d'un immeuble. De la création du projet jusqu'à sa finalisation, vous explorerez les détails de sa planification (par les délais ou par les ressources) et vous apprendrez à calculer son coût. L'auteur s'est attaché à recenser toutes les informations et techniques dont le lecteur aura besoin pour gérer ses propres projets",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-7614-3,Version imprimée,978-2-7460-7697-6,Version numérique,St-Herblain,Editions ENI,2012,Données textuelles et illustrations sur pages HTML,Solutions Business,%SITE_CLIENT%/?library_guid=dadda863-1fdf-40c1-aec9-b8448a60548f,Accès au travers du portail ENI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
